,Date,Confirmed_1,Discharges_1,LocalTransmission_1
252,10/8/2020,-1.0,32.0,0.0
253,10/9/2020,1.0,-37.0,-3.0
254,10/10/2020,-3.0,16.0,1.0
255,10/11/2020,3.0,-16.0,1.0
256,10/12/2020,-6.0,16.0,-1.0
257,10/13/2020,0.0,-11.0,-2.0
258,10/14/2020,1.0,0.0,2.0
259,10/15/2020,-2.0,0.0,-1.0
260,10/16/2020,6.0,8.0,0.0
261,10/17/2020,-6.0,-6.0,1.0
262,10/18/2020,4.0,-5.0,0.0
263,10/19/2020,-3.0,3.0,-2.0
264,10/20/2020,2.0,-12.0,2.0
265,10/21/2020,6.0,2.0,-2.0
266,10/22/2020,-4.0,6.0,1.0
267,10/23/2020,2.0,-5.0,-1.0
268,10/24/2020,4.0,9.0,3.0
269,10/25/2020,-9.0,2.0,-1.0
270,10/26/2020,-2.0,7.0,-1.0
271,10/27/2020,4.0,-17.0,0.0
272,10/28/2020,0.0,3.0,-1.0
273,10/29/2020,0.0,2.0,0.0
274,10/30/2020,2.0,1.0,2.0
275,10/31/2020,3.0,-6.0,-2.0
276,11/1/2020,-8.0,7.0,0.0
277,11/2/2020,-3.0,-11.0,0.0
278,11/3/2020,8.0,13.0,2.0
279,11/4/2020,-2.0,-12.0,0.0
280,11/5/2020,0.0,10.0,-1.0
281,11/6/2020,-3.0,-1.0,-1.0
282,11/7/2020,3.0,-1.0,0.0
283,11/8/2020,-5.0,-2.0,0.0
284,11/9/2020,6.0,-1.0,0.0
285,11/10/2020,1.0,-2.0,2.0
286,11/11/2020,9.0,1.0,-2.0
287,11/12/2020,-7.0,7.0,0.0
288,11/13/2020,1.0,-6.0,0.0
289,11/14/2020,-10.0,5.0,0.0
290,11/15/2020,1.0,-1.0,0.0
291,11/16/2020,2.0,-6.0,0.0
292,11/17/2020,1.0,2.0,0.0
293,11/18/2020,-1.0,1.0,0.0
294,11/19/2020,-1.0,-1.0,0.0
295,11/20/2020,0.0,0.0,0.0
296,11/21/2020,1.0,0.0,0.0
297,11/22/2020,7.0,-3.0,0.0
298,11/23/2020,-7.0,1.0,0.0
299,11/24/2020,13.0,4.0,0.0
300,11/25/2020,-11.0,4.0,0.0
301,11/26/2020,-2.0,1.0,1.0
302,11/27/2020,-1.0,-6.0,-1.0
303,11/28/2020,2.0,1.0,1.0
304,11/29/2020,2.0,-3.0,0.0
305,11/30/2020,-3.0,5.0,0.0
306,12/1/2020,5.0,-5.0,1.0
307,12/2/2020,-8.0,0.0,-2.0
308,12/3/2020,7.0,-4.0,1.0
309,12/4/2020,-6.0,6.0,-1.0
310,12/5/2020,10.0,-1.0,1.0
311,12/6/2020,-8.0,-4.0,-1.0
312,12/7/2020,8.0,6.0,0.0
313,12/8/2020,-1.0,0.0,0.0
